geonameid;name;asciiname;latitude;longitude;feature code;country code;admin1 code;admin2 code;population;modification date
6453347;Eid;Eid;61.90684;5.99321;ADM2;NO;15;1443;5861;2010-12-07
6453348;Årdal;Ardal;61.23639;7.70204;ADM2;NO;15;1424;5600;2010-12-07
6453349;Vang;Vang;61.12564;8.57167;ADM2;NO;11;0545;1583;2014-07-10
6453350;Lillehammer;Lillehammer;61.11464;10.46743;ADM2;NO;11;0501;26104;2014-07-10
6453351;Hamar;Hamar;60.79451;11.0783;ADM2;NO;06;0403;28211;2014-07-10
6453352;Vaksdal;Vaksdal;60.5903;5.82272;ADM2;NO;07;1251;4110;2010-12-07
6453353;Øygarden;Oygarden;60.59041;4.8389;ADM2;NO;07;1259;4223;2010-12-07
6453354;Radøy;Radoy;60.64187;5.0411;ADM2;NO;07;1260;4825;2010-12-07
6453355;Gjøvik;Gjovik;60.79472;10.69287;ADM2;NO;11;0502;28611;2014-07-10
6453356;Våler;Valer;60.67845;11.83314;ADM2;NO;06;0426;3869;2014-07-10
6453357;Hol;Hol;60.61528;8.30194;ADM2;NO;04;0620;4430;2014-07-10
6453358;Osterøy;Osteroy;60.52389;5.50551;ADM2;NO;07;1253;7352;2010-12-07
6453359;Nes;Nes;60.56804;9.10169;ADM2;NO;04;0616;3461;2010-12-07
6453360;Ringerike;Ringerike;60.16018;10.2566;ADM2;NO;04;0605;28645;2010-12-07
6453361;Flå;Fla;60.4291;9.46611;ADM2;NO;04;0615;1011;2010-12-07
6453362;Os;Os;60.18547;5.46962;ADM2;NO;07;1243;16437;2010-12-07
6453363;Nore og Uvdal;Nore og Uvdal;60.26706;8.94635;ADM2;NO;04;0633;2503;2010-12-07
6453364;Nes;Nes;60.12252;11.4657;ADM2;NO;01;0236;18629;2010-12-07
6453365;Vinje;Vinje;59.56924;7.98896;ADM2;NO;17;0834;3662;2014-07-10
6453366;Oslo;Oslo;59.91183;10.73367;ADM2;NO;12;0301;575475;2017-04-19
6453367;Hole;Hole;60.08017;10.2784;ADM2;NO;04;0612;5861;2010-12-07
